,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
14,-30.821678317844672,267.9354704825063,-1.9517228754998506,291.3165584313246,-26.14722625392533,97.0417921440969,BD-16 3424,bright star,2.59,59418.290885,False,False,True
15,-34.61472298782958,270.34277670787327,-1.7603921659595267,291.4467097472617,-26.127560346213826,97.15676781936568,BD-16 3424,bright star,2.59,59418.303385,False,False,True
16,-38.40671082522532,272.8653465999471,-1.6096849803042368,291.57802729714376,-26.10554873937828,97.27363076502559,BD-16 3424,bright star,2.59,59418.315885,False,False,True
17,-42.18998549449444,275.5452649450716,-1.4890012760474185,291.7109149182046,-26.081242456423507,97.39269847495798,BD-16 3424,bright star,2.59,59418.328385,False,False,True
18,-45.95530508332519,278.43635800076925,-1.3912120255942482,291.84576518116444,-26.054705336472065,97.51427355512945,BD-16 3424,bright star,2.59,59418.340885,False,False,True
19,-49.69100045709583,281.60927120534666,-1.311360649962019,291.9829568013039,-26.026013495593244,97.63864179661049,BD-16 3424,bright star,2.59,59418.353385,False,False,True
20,-53.38168627858352,285.15899432783,-1.2459089644676693,292.12285217131006,-25.995254692022673,97.76607038081457,BD-16 3424,bright star,2.59,59418.365885,False,False,True
21,-57.00622705140416,289.2160710964501,-1.192279149682032,292.26579506083243,-25.962527602498053,97.89680625089927,BD-16 3424,bright star,2.59,59418.378385,False,False,True
22,-60.534449210870406,293.96309323311044,-1.1485650394302982,292.41210848308987,-25.927941021391145,98.0310746453554,BD-16 3424,bright star,2.59,59418.390885,False,False,True
23,-63.92175234278273,299.6577174275245,-1.1133445620159115,292.562092756662,-25.891612991560635,98.16907781307225,BD-16 3424,bright star,2.59,59418.403385,False,False,True
24,-67.10035087348284,306.65974368892586,-1.085554989416842,292.7160237575994,-25.85366988011746,98.31099390240362,BD-16 3424,bright star,2.59,59418.415885,False,False,True
25,-69.96588953234644,315.4446094275421,-1.0644086035641096,292.8741513944484,-25.81424540824429,98.4569760476092,BD-16 3424,bright star,2.59,59418.428385,False,False,True
26,-72.36092377826182,326.54085628533477,-1.0493353105270515,293.03669830191393,-25.773479647571214,98.60715164613524,BD-16 3424,bright star,2.59,59418.440885,False,False,True
27,-74.06844918852384,340.2517615112342,-1.0399439303901585,293.20385874517046,-25.731517995444538,98.76162181650841,BD-16 3424,bright star,2.59,59418.453385,False,False,True
28,-74.85192649671123,356.08311683649447,-1.0359970464361057,293.37579775944704,-25.688510138232722,98.92046105589824,BD-16 3424,bright star,2.59,59418.465885,False,False,True
